"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","uri"
0.324,0.119,0.0291,0.752,0.00389,0.473,0.232,"spotify:track:3Uvaz4fP2DDdhe7e6xeARE"
0.194,0.124,0.027,0.886,3e-04,0.536,0.14,"spotify:track:64HjWSQu04jNos5CRNhiz7"
0.574,0.329,0.0275,0.473,0,0.545,0.494,"spotify:track:3BiNU6zrPCAsO2HAiIbSTd"
0.349,0.125,0.0286,0.623,8.61e-05,0.513,0.153,"spotify:track:5Z6w9JgflbLRW99o5F4UdW"
0.382,0.231,0.0293,0.192,0.0838,0.495,0.194,"spotify:track:72Hkr0TbrdWz2pA0qRSDdn"
0.408,0.0892,0.0315,0.644,0.00372,0.464,0.0795,"spotify:track:4niDU35YEMnJIQjKb506hb"
0.529,0.137,0.0372,0.42,0.0064,0.518,0.234,"spotify:track:6SpYSQwD0UR7NMHuUF0wzk"
0.332,0.0959,0.0297,0.753,0.000104,0.401,0.077,"spotify:track:1WPE78P08dUcusH37bUdSp"
0.361,0.114,0.0316,0.822,0.213,0.22,0.114,"spotify:track:18LyvOCkXwiLxBZ9K9SpqQ"
0.734,0.369,0.444,0.0241,1.65e-06,0.679,0.256,"spotify:track:46THN9jjPWhSqFUu6YsBhv"
0.634,0.0802,0.163,0.118,3.23e-05,0.804,0.53,"spotify:track:1C0ACIWByTCgeRcXF6kNwS"
0.953,0.106,0.234,0.437,0.813,0.78,0.426,"spotify:track:6zpGlMguCiKeoUMMe4NUce"
0.395,0.515,0.344,0.623,0,0.685,0.367,"spotify:track:4JwJuaylW9pXT2ZmOh3Ome"
0.57,0.544,0.0564,0.135,1.48e-06,0.712,0.383,"spotify:track:1947qHiGxQpqleCxLphoOH"
0.725,0.779,0.357,0.53,0,0.67,0.286,"spotify:track:55PANebG9oWLaWzl3B6YTC"
0.746,0.116,0.119,0.072,0,0.472,0.442,"spotify:track:04mf1OkXHZ6TPBNM9sBcSm"
0.564,0.104,0.529,0.582,0,0.811,0.168,"spotify:track:6GIaL3AbpqQCVLNwWJvU8A"
0.593,0.123,0.0901,0.708,0,0.635,0.549,"spotify:track:4ZiaO8v8dFaJnV0DXCcT2n"
0.632,0.297,0.176,0.00569,0,0.544,0.336,"spotify:track:1IVXeTZsqoUe9Vglt6KOkk"
0.543,0.09,0.112,0.0402,0,0.473,0.435,"spotify:track:76Bwuc3O1WIGU4jUyyjS6R"
0.38,0.23,0.668,0.577,0,0.77,0.965,"spotify:track:44kE0eVFlAuo8sK6jCFvEe"
0.577,0.331,0.0389,0.0441,1e-05,0.559,0.0601,"spotify:track:7mjJ4gOLoTwf5eIvy6R0VO"
0.422,0.194,0.0843,0.336,0,0.667,0.15,"spotify:track:207fycGQVf3LVqWWz0DNES"
0.744,0.138,0.463,0.271,0.000354,0.526,0.124,"spotify:track:1ZNCHRfXYaNX3DTRPi6YKD"
0.397,0.133,0.0502,0.185,0.00264,0.511,0.122,"spotify:track:6X6rEM1F1eMXhVBSGEEnMz"
0.431,0.108,0.906,0.983,0.000111,0.757,0.913,"spotify:track:0bAJDxujFgNPdhuUpQpncQ"
0.812,0.107,0.295,0.0363,0,0.822,0.361,"spotify:track:5lyHrXxLfiiWMolM6OEmgy"
0.924,0.235,0.31,0.236,0,0.471,0.676,"spotify:track:1pCHgn3AGN76ni15bX8jSo"
0.655,0.175,0.146,0.0473,0,0.783,0.389,"spotify:track:5x5j3y3Z5u5IO5drVBlUGT"
0.582,0.334,0.0729,0.133,1.63e-06,0.762,0.392,"spotify:track:60fLBoD7INAvDtg5F7Z4nA"
0.634,0.0672,0.0631,0.061,0.224,0.378,0.0546,"spotify:track:2SHzX7kPO4SBmBGsqnH6nN"
0.799,0.147,0.0791,0.00836,0,0.409,0.33,"spotify:track:2k1DGjI4zqifX4gEvBd2zf"
0.717,0.0593,0.0398,7.52e-05,0.899,0.781,0.076,"spotify:track:3Igl7NHQ0AuoT1M5hAddaS"
0.949,0.145,0.0522,0.000331,0.705,0.283,0.559,"spotify:track:2XTJuZ9IeeAprAxHfDmERq"
0.852,0.0851,0.248,0.507,0,0.539,0.517,"spotify:track:6liGqN48zCba8OPKVu9oDn"
0.552,0.113,0.0401,0.0359,0.844,0.719,0.254,"spotify:track:2TypdFCIkHPMKX6VFzcYhe"
0.433,0.119,0.0479,0.596,0.0561,0.451,0.153,"spotify:track:4xCDna3QZvvCI3W9GbwMZ0"
0.772,0.378,0.0569,0.0167,4.64e-05,0.414,0.211,"spotify:track:6OuVgSWn6k7s7Tc9NgiU8D"
0.682,0.101,0.0554,0.0116,0.0462,0.738,0.335,"spotify:track:4bwa0QQbgOEWBDdA4vKDon"
0.892,0.359,0.0341,0.019,0.773,0.357,0.847,"spotify:track:3aqD8bNjsGmkPbilWiZMjA"
0.362,0.112,0.0333,0.257,0.836,0.335,0.0717,"spotify:track:2GKd9otwLGxcUY4cClJDEh"
0.475,0.122,0.0417,0.643,0,0.663,0.648,"spotify:track:0SqzuPY2slAHil2RLGyphd"
0.639,0.0382,0.0549,0.00226,0.000315,0.893,0.582,"spotify:track:1UfBAJfmofTffrae5ls6DA"
0.184,0.271,0.0328,0.98,0.00816,0.389,0.157,"spotify:track:4tMhwWkSXB4fzgqoBhC5k0"
0.943,0.319,0.0747,0.000432,0.905,0.324,0.272,"spotify:track:5tsClamatYBBC7i8OHC17N"
0.625,0.611,0.0366,0.44,0.281,0.294,0.307,"spotify:track:3hyI2HLQxWPtoT8Or2e5Rk"
0.724,0.469,0.275,0.39,0,0.548,0.459,"spotify:track:1dx9EdvyNujagtQzgNPPFC"
0.896,0.375,0.109,0.00068,0.815,0.35,0.0668,"spotify:track:302m4ZNnzsmIT9Bn0ZePmN"
0.854,0.107,0.0621,0.00391,0.00386,0.322,0.0815,"spotify:track:2qKHmDCgi54p7ueuNCOkoe"
0.588,0.113,0.0278,0.0123,0.00551,0.627,0.519,"spotify:track:6c2N8YRRqjtevGfIJovXGP"
0.381,0.0729,0.262,0.392,0.00643,0.604,0.301,"spotify:track:33zcw56D51sFXaE40FPf6E"
0.929,0.203,0.113,0.0232,0.0893,0.312,0.331,"spotify:track:0eLiaA1XEtztloEOdTgAeX"
0.827,0.12,0.0955,0.0903,0.294,0.654,0.0735,"spotify:track:52usp7Qr6qXYYwTaxhljtV"
