"liveness","speechiness","acousticness","instrumentalness","danceability","clustering"
0.093,0.0374,0.931,0.864,0.164,4
0.0737,0.0373,0.0277,0.204,0.221,1
0.085,0.0279,0.785,0.955,0.322,4
0.0952,0.0388,0.92,0.876,0.0819,4
0.0632,0.0363,0.957,0.937,0.185,4
0.0731,0.0763,0.427,0.736,0.263,5
0.158,0.0315,0.011,0.0724,0.296,1
0.134,0.0924,0.00303,0.000116,0.57,1
0.0592,0.0688,0.000182,0.0891,0.751,1
0.0795,0.0469,0.000117,0.223,0.587,1
0.183,0.0302,0.114,0.000521,0.697,1
0.0961,0.0395,0.972,0.907,0.21,4
0.125,0.0366,0.195,0.124,0.353,1
0.0778,0.0383,0.0287,0.315,0.53,1
0.111,0.105,0.00206,0.809,0.662,2
0.092,0.0401,0.014,0.408,0.581,1
0.0607,0.0387,0.961,0.93,0.232,4
0.104,0.04,0.806,0.84,0.195,4
0.298,0.0327,0.00861,0.00000714,0.541,1
0.11,0.0413,0.0000363,0.812,0.366,5
0.0965,0.0523,0.916,0.914,0.156,4
0.112,0.0396,0.834,0.781,0.14,4
0.0814,0.0434,0.996,0.986,0.0881,4
0.159,0.216,0.358,0.906,0.146,5
0.115,0.204,0.621,0.8,0.151,4
0.1,0.0534,0.939,0.894,0.245,4
0.087,0.0387,0.934,0.485,0.131,4
0.0831,0.0458,0.32,0.267,0.471,1
0.115,0.0299,0.0587,0.929,0.563,2
0.0833,0.0467,0.0223,0.92,0.747,2
0.248,0.141,0.00242,0.0672,0.498,1
0.0744,0.059,0.0127,0.905,0.69,2
0.112,0.0346,0.348,0.835,0.551,2
0.324,0.106,0.00108,0.251,0.869,1
0.197,0.0505,0.000268,0.000998,0.396,1
0.432,0.0494,0.00244,0.826,0.658,2
0.0996,0.0649,0.21,0.714,0.102,5
0.0997,0.0372,0.459,0.43,0.708,3
0.128,0.0479,0.17,0.821,0.592,2
0.112,0.0322,0.000971,0.0000595,0.398,1
0.345,0.0396,0.00292,0.534,0.558,2
0.649,0.041,0.216,0.904,0.619,2
0.101,0.0376,0.967,0.877,0.333,4
0.137,0.0268,0.808,0.927,0.522,4
0.12,0.0318,0.467,0.676,0.566,2
0.166,0.0288,0.253,0.923,0.434,5
0.215,0.0279,0.921,0.939,0.496,4
0.131,0.0253,0.654,0.912,0.446,4
0.112,0.0272,0.606,0.869,0.664,2
0.113,0.0304,0.553,0.817,0.574,2
0.112,0.0326,0.788,0.829,0.605,4
0.272,0.0394,0.398,0.895,0.407,5
0.142,0.0251,0.275,0.946,0.38,5
0.144,0.038,0.0348,0.786,0.607,2
0.107,0.0412,0.845,0.923,0.697,4
0.12,0.0767,0.382,0.569,0.518,2
0.056,0.0446,0.306,0.0656,0.578,1
0.311,0.0362,0.722,0.909,0.142,4
0.192,0.0374,0.111,0.955,0.138,5
0.148,0.0367,0.842,0.97,0.248,4
0.0571,0.452,0.947,0.000246,0.584,3
0.203,0.0419,0.967,0.0642,0.0906,3
0.0852,0.0412,0.972,0.662,0.241,4
0.385,0.0765,0.396,0.813,0.181,5
0.103,0.0393,0.859,0.903,0.161,4
0.692,0.0412,0.929,0.909,0.165,4
0.152,0.0433,0.821,0.881,0.0802,4
0.318,0.0374,0.801,0.926,0.0809,4
0.0766,0.0429,0.787,0.909,0.14,4
0.105,0.0463,0.721,0.881,0.0769,4
0.125,0.0405,0.895,0.953,0.164,4
0.207,0.0475,0.921,0.958,0.0616,4
0.117,0.0385,0.946,0.567,0.0881,4
0.187,0.0394,0.915,0.862,0.137,4
0.249,0.0389,0.885,0.781,0.0964,4
0.428,0.04,0.958,0.957,0.157,4
0.104,0.0451,0.95,0.929,0.0836,4
0.109,0.0349,0.742,0.925,0.184,4
0.0706,0.0352,0.892,0.886,0.144,4
0.105,0.0384,0.619,0.942,0.0607,4
0.215,0.0497,0.347,0.913,0.302,5
0.209,0.0404,0.801,0.893,0.156,4
0.0775,0.0403,0.887,0.902,0.155,4
0.194,0.0485,0.12,0.968,0.181,5
0.116,0.0359,0.76,0.891,0.149,4
0.0759,0.0574,0.859,0.942,0.0666,4
0.0799,0.0501,0.473,0.959,0.175,5
0.103,0.0346,0.865,0.8,0.124,4
0.0723,0.0414,0.396,0.896,0.161,5
0.135,0.0383,0.371,0.835,0.17,5
0.208,0.0366,0.314,0.962,0.218,5
0.078,0.0397,0.239,0.697,0.274,5
0.0951,0.0505,0.977,0.994,0.107,4
0.0898,0.0372,0.949,0.82,0.144,4
